绿里奇迹,1999,犯罪 剧情 奇幻 悬疑,8.9,295222,天使暂时离开。
色，戒,2007,剧情 爱情 情色,8.6,694564,假戏真情，爱欲深海
爆裂鼓手,2014,剧情 音乐,8.7,534710,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
小偷家族,2018,剧情 犯罪 家庭,8.7,762368,我们组成了家。
贫民窟的百万富翁,2008,剧情 爱情,8.6,699425,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
无敌破坏王,2012,喜剧 动画 奇幻 冒险,8.7,494204,迪士尼和皮克斯拿错剧本的产物。
东邪西毒,1994,剧情 动作 爱情 武侠 古装,8.6,537943,电影诗。
真爱至上,2003,喜剧 剧情 爱情,8.6,677952,爱，是个动词。
疯狂的石头,2006,喜剧 犯罪,8.5,752183,中国版《两杆大烟枪》。
茶馆,1982(中国大陆),剧情 历史,9.5,108725,松鼠才是角儿。
雨中曲,1952,喜剧 歌舞 爱情,9.1,200231,骨灰级歌舞片。
你看起来好像很好吃,2010,剧情 动画 儿童,8.9,309494,感情不分食草或者食肉。
恐怖游轮,2009,剧情 悬疑 惊悚,8.5,776125,不要企图在重复中寻找已经失去的爱。
黑天鹅,2010,剧情 惊悚,8.6,740566,黑暗之美。
2001太空漫游,1968,科幻 惊悚 冒险,8.9,287218,现代科幻电影的开山之作，最伟大导演的最伟大影片。
魔女宅急便,1989,动画 奇幻 冒险,8.7,422297,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
雨人,1988,剧情,8.7,376912,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
恋恋笔记本,2004,剧情 爱情,8.6,618523,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
遗愿清单,2007,冒险 喜剧 剧情,8.7,405503,用剩余不多的时间，去燃烧整个生命。
无间道2,2003,剧情 犯罪 惊悚,8.7,422862,弱者送给弱者的一刀。
大佛普拉斯,2017,剧情 喜剧,8.7,406765,人们可以登上月球，却永远无法探索人们内心的宇宙。
可可西里,2004,剧情 犯罪,8.9,278260,坚硬的信仰。
城市之光,1931,喜剧 剧情 爱情,9.3,131239,永远的小人物，伟大的卓别林。
背靠背，脸对脸,1994,剧情,9.5,107576,幸福是生生不息，却难以触及的远。 
小丑,2019,剧情 犯罪 惊悚,8.7,928511,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
东京教父,2003,剧情 喜剧 动画,9.0,193168,永远看不腻的喜剧。
初恋这件小事,2010,剧情 喜剧 爱情,8.5,927314,黑小鸭速效美白记。
人工智能,2001,剧情 科幻,8.7,410095,对爱的执着，可以超越一切。
海边的曼彻斯特,2016,剧情 家庭,8.6,467361,我们都有权利不与自己的过去和解。
罗生门,1950,剧情 犯罪 悬疑,8.8,288448,人生的N种可能性。
终结者2：审判日,1991,动作 科幻,8.8,316107,少见的超越首部的续集，动作片中的经典。
青蛇,1993,剧情 爱情 奇幻 古装,8.6,482427,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
波西米亚狂想曲,2018,剧情 传记 同性 音乐,8.6,552165,有一些东西不应该被遗忘。
奇迹男孩,2017,剧情 儿童 家庭,8.6,518603,世界不完美，爱会有奇迹。
疯狂的麦克斯4：狂暴之路,2015,动作 科幻 冒险,8.6,485699,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
新龙门客栈,1992,动作 爱情 武侠 古装,8.7,407988,嬉笑怒骂，调风动月。
房间,2015,剧情 家庭,8.8,349522,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
心灵奇旅,2020,动画 奇幻 音乐,8.7,878199,昆汀同学越来越变态了，比北野武还杜琪峰。
血钻,2006,剧情 惊悚 冒险,8.7,349128,每个美丽事物背后都是滴血的现实。
千钧一发,1997,剧情 科幻 惊悚,8.8,264389,一部能引人思考的科幻励志片。
魂断蓝桥,1940,剧情 爱情 战争,8.8,256549,中国式内在的美国电影。
步履不停,2008,剧情 家庭,8.8,256083,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
黑客帝国2：重装上阵,2003,动作 科幻,8.7,376215,一个精彩的世界观正在缓缓建立。
彗星来的那一夜,2013,科幻 悬疑 惊悚,8.5,516567,小成本大魅力。
崖上的波妞,2008,动画 奇幻 冒险,8.6,443132,做一颗让别人需要你的棋子。
爱乐之城,2016,剧情 爱情 歌舞,8.4,806020,谁说王家卫镜头很晃？
燃情岁月,1994,剧情 爱情 战争 西部,8.8,267513,传奇，不是每个人都可以拥有。
末路狂花,1991,犯罪 剧情 惊悚,8.9,217319,没有了退路，只好飞向自由。
阿飞正传,1990,犯罪 剧情 爱情,8.5,467994,王家卫是一种风格，张国荣是一个代表。
火星救援,2015,剧情 科幻 冒险,8.5,658930,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
再次出发之纽约遇见你,2013,喜剧 爱情 音乐,8.6,397897,爱我就给我看你的播放列表。
海洋,2009,纪录片,9.1,150284,大海啊，不全是水。
朗读者,2008,剧情 爱情,8.6,430063,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
穿越时空的少女,2006,剧情 爱情 科幻 动画,8.6,357395,爱上未来的你。 
千年女优,2001,动画 剧情 爱情,8.8,233044,爱情是一场没有尽头的虚幻追逐。
香水,2006,剧情 犯罪 奇幻,8.5,511623,一个单凭体香达到高潮的男人。
地球上的星星,2007,剧情 儿童 家庭,8.9,190968,天使保护事件始末。
我爱你,2011,剧情 爱情,9.1,153447,你要相信，这世上真的有爱存在，不管在什么年纪 
完美陌生人,2016,剧情 喜剧,8.5,493360,来啊，互相伤害啊！
弱点,2009,剧情 家庭 传记 运动,8.7,265558,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
驴得水,2016,剧情 喜剧,8.3,858602,过去的如果就让它过去了，未来只会越来越糟！
浪潮,2008,剧情 惊悚,8.7,258044,世界离独裁只有五天。
